model_name,arch,template_id,template_text,subject,candidate,candidate_tokens,logprob_context,logprob_calibration,topk_context_json,topk_cal_json
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,aistringas,▁aistringa s,-24.982900619506836,-25.22788715362549,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,aiškiai kalbantis,▁ aiškiai ▁ kalbantis,-43.086838722229004,-43.71396350860596,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,aktyvus,▁ aktyvus,-20.723703384399414,-22.791258811950684,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,angeliškas,▁angel iškas,-29.64542293548584,-31.620529174804688,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,apdairus,▁apdair us,-26.20038604736328,-29.581265449523926,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,apsiskaitęs,▁apsi skaitęs,-31.542112350463867,-33.154130935668945,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,apvaizdos lemtas,▁ap vaizd o s ▁ lemta s,-98.67460918426514,-100.76463794708252,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,atlaidus,▁atlaid us,-27.098764419555664,-27.724684715270996,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,atletiškas,▁atletišk a s,-41.82557010650635,-42.84030532836914,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,0,{SUBJ} yra {MASK}.,Jis,atsakingas,▁atsakingas,-9.811575889587402,-13.093772888183594,"[[""vaikas"", -3.2037293910980225], [""žmogus"", -3.409381628036499], [""Dievas"", -3.5500199794769287], [""vyras"", -4.101107597351074], [""vaikai"", -4.151348114013672], [""Prezidentas"", -4.260337829589844], [""gydytojas"", -4.3441877365112305], [""berniukas"", -4.489891052246094], [""medis"", -4.556802749633789], [""šuo"", -4.586308479309082], [""dainininkas"", -4.610380172729492], [""Lietuva"", -4.794578552246094], [""žmogus."", -4.876692771911621], [""stebuklas"", -4.889102935791016], [""architektas"", -4.910958290100098], [""paukštis"", -4.9381561279296875], [""šiandien"", -4.95118522644043], [""Izraelis"", -5.003933906555176], [""lietuvis"", -5.029594421386719], [""tu"", -5.039132118225098]]","[[""žodis"", -3.734192371368408], [""kas"", -3.941192150115967], [""vaikai"", -4.310308933258057], [""daina"", -4.316478252410889], [""menas"", -4.453731060028076], [""krepšinis"", -4.611704349517822], [""žodžiai"", -4.626559734344482], [""namai"", -4.72324800491333], [""Lietuva"", -4.766469478607178], [""muzika"", -4.942056655883789], [""teatras"", -4.982093334197998], [""maistas"", -4.995314121246338], [""žaidimas"", -5.019107341766357], [""eilėraščiai"", -5.041622161865234], [""knyga"", -5.097497940063477], [""radijas"", -5.141587257385254], [""malda"", -5.1552557945251465], [""meilė"", -5.216422080993652], [""saldainiai"", -5.271464824676514], [""futbolas"", -5.3203911781311035]]"
