model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,aistringas,ais t ringas,-4.851691722869873,"[[""s"", -3.223057270050049], [""rojus"", -3.977883815765381], [""menas"", -4.007554531097412], [""nes"", -4.010177135467529], [""\"""", -4.065210819244385], [""United"", -4.288123607635498], [""-"", -4.3064045906066895], [""i"", -4.516684055328369], [""Šiaurės"", -4.561232089996338], [""pasaulis"", -4.630666255950928], [""jau"", -4.7291789054870605], [""kas"", -4.774139881134033], [""Jis"", -4.851691722869873], [""žmogus"", -4.870150089263916], [""mokslas"", -4.943657398223877], [""o"", -5.003718852996826], [""Jau"", -5.113895893096924], [""takas"", -5.131160259246826], [""k"", -5.164922714233398], [""a"", -5.306382656097412]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,aistringas,ais t ringas,-13.466476917266846,"[[""s"", -3.223057270050049], [""rojus"", -3.977883815765381], [""menas"", -4.007554531097412], [""nes"", -4.010177135467529], [""\"""", -4.065210819244385], [""United"", -4.288123607635498], [""-"", -4.3064045906066895], [""i"", -4.516684055328369], [""Šiaurės"", -4.561232089996338], [""pasaulis"", -4.630666255950928], [""jau"", -4.7291789054870605], [""kas"", -4.774139881134033], [""Jis"", -4.851691722869873], [""žmogus"", -4.870150089263916], [""mokslas"", -4.943657398223877], [""o"", -5.003718852996826], [""Jau"", -5.113895893096924], [""takas"", -5.131160259246826], [""k"", -5.164922714233398], [""a"", -5.306382656097412]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,aiškiai kalbantis,aiÅ¡kiai Ġkalba ntis,-4.575619697570801,"[[""Europa"", -2.734116554260254], [""pasaulis"", -2.902162551879883], [""Andrius"", -3.1082096099853516], [""Vilnius"", -3.1242074966430664], [""Lietuva"", -3.134402275085449], [""DELFI"", -3.4673547744750977], [""Dabar"", -3.4837989807128906], [""Šiandien"", -3.985367774963379], [""Tai"", -4.393471717834473], [""Petras"", -4.448906898498535], [""Lietuvoje"", -4.453085899353027], [""Valstybė"", -4.509476661682129], [""Jau"", -4.514172554016113], [""menas"", -4.528128623962402], [""Jis"", -4.575619697570801], [""Vytautas"", -4.618891716003418], [""Pasauli"", -4.635601043701172], [""Nors"", -4.731934547424316], [""kas"", -4.875164031982422], [""LRT"", -4.91901969909668]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,aiškiai kalbantis,aiÅ¡kiai Ġkalba ntis,-16.26713275909424,"[[""Europa"", -2.734116554260254], [""pasaulis"", -2.902162551879883], [""Andrius"", -3.1082096099853516], [""Vilnius"", -3.1242074966430664], [""Lietuva"", -3.134402275085449], [""DELFI"", -3.4673547744750977], [""Dabar"", -3.4837989807128906], [""Šiandien"", -3.985367774963379], [""Tai"", -4.393471717834473], [""Petras"", -4.448906898498535], [""Lietuvoje"", -4.453085899353027], [""Valstybė"", -4.509476661682129], [""Jau"", -4.514172554016113], [""menas"", -4.528128623962402], [""Jis"", -4.575619697570801], [""Vytautas"", -4.618891716003418], [""Pasauli"", -4.635601043701172], [""Nors"", -4.731934547424316], [""kas"", -4.875164031982422], [""LRT"", -4.91901969909668]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,aktyvus,aktyvus,-3.5927059650421143,"[[""ES"", -2.4492809772491455], [""Jis"", -3.5927059650421143], [""X"", -3.7872087955474854], [""pasaulis"", -3.9379351139068604], [""Vytautas"", -3.9790756702423096], [""s"", -3.9896833896636963], [""pasaulyje"", -4.00337028503418], [""A"", -4.003669738769531], [""B"", -4.113313674926758], [""Vilnius"", -4.503026962280273], [""Lietuvoje"", -4.626157760620117], [""sportas"", -4.774615287780762], [""kas"", -4.9665679931640625], [""verslas"", -4.9866132736206055], [""narys"", -5.188767433166504], [""Lietuva"", -5.2300214767456055], [""NATO"", -5.2328948974609375], [""Tai"", -5.248563766479492], [""Andrius"", -5.264097213745117], [""“"", -5.348714828491211]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,aktyvus,aktyvus,-18.08318042755127,"[[""ES"", -2.4492809772491455], [""Jis"", -3.5927059650421143], [""X"", -3.7872087955474854], [""pasaulis"", -3.9379351139068604], [""Vytautas"", -3.9790756702423096], [""s"", -3.9896833896636963], [""pasaulyje"", -4.00337028503418], [""A"", -4.003669738769531], [""B"", -4.113313674926758], [""Vilnius"", -4.503026962280273], [""Lietuvoje"", -4.626157760620117], [""sportas"", -4.774615287780762], [""kas"", -4.9665679931640625], [""verslas"", -4.9866132736206055], [""narys"", -5.188767433166504], [""Lietuva"", -5.2300214767456055], [""NATO"", -5.2328948974609375], [""Tai"", -5.248563766479492], [""Andrius"", -5.264097213745117], [""“"", -5.348714828491211]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,angeliškas,a ngel iÅ¡kas,-6.513156414031982,"[[""s"", -3.2090044021606445], [""R"", -3.374784469604492], [""misija"", -4.264946937561035], [""ES"", -4.290477752685547], [""DELFI"", -4.3969621658325195], [""angelas"", -4.719792366027832], [""žmogus"", -4.727329254150391], [""anas"", -4.748282432556152], [""straipsnis"", -4.8327507972717285], [""Angela"", -4.85331392288208], [""kelias"", -4.873522758483887], [""pasaulis"", -4.894927024841309], [""Afganistan"", -4.921821594238281], [""e"", -4.96225643157959], [""pasaulyje"", -5.021960735321045], [""mokslas"", -5.131728172302246], [""b"", -5.131821632385254], [""r"", -5.1663126945495605], [""menas"", -5.189741134643555], [""i"", -5.215646743774414]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,angeliškas,a ngel iÅ¡kas,-14.82813549041748,"[[""s"", -3.2090044021606445], [""R"", -3.374784469604492], [""misija"", -4.264946937561035], [""ES"", -4.290477752685547], [""DELFI"", -4.3969621658325195], [""angelas"", -4.719792366027832], [""žmogus"", -4.727329254150391], [""anas"", -4.748282432556152], [""straipsnis"", -4.8327507972717285], [""Angela"", -4.85331392288208], [""kelias"", -4.873522758483887], [""pasaulis"", -4.894927024841309], [""Afganistan"", -4.921821594238281], [""e"", -4.96225643157959], [""pasaulyje"", -5.021960735321045], [""mokslas"", -5.131728172302246], [""b"", -5.131821632385254], [""r"", -5.1663126945495605], [""menas"", -5.189741134643555], [""i"", -5.215646743774414]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,apdairus,apdairu s,-5.7618913650512695,"[[""pasaulis"", -2.3600385189056396], [""visada"", -3.772690534591675], [""Vilnius"", -3.8201119899749756], [""NATO"", -3.8997457027435303], [""bet"", -4.0615034103393555], [""ES"", -4.0667829513549805], [""verslas"", -4.400716781616211], [""Europa"", -4.423830032348633], [""kas"", -4.484644889831543], [""Vytautas"", -4.584246635437012], [""laikas"", -4.666803359985352], [""JAV"", -4.754953384399414], [""Trumpas"", -4.789883613586426], [""Lietuva"", -4.802333831787109], [""oras"", -4.950946807861328], [""Prancūzija"", -4.978933334350586], [""tas"", -5.094202041625977], [""ministras"", -5.291295051574707], [""Ukraina"", -5.315125465393066], [""s"", -5.324872970581055]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,apdairus,apdairu s,-16.625747203826904,"[[""pasaulis"", -2.3600385189056396], [""visada"", -3.772690534591675], [""Vilnius"", -3.8201119899749756], [""NATO"", -3.8997457027435303], [""bet"", -4.0615034103393555], [""ES"", -4.0667829513549805], [""verslas"", -4.400716781616211], [""Europa"", -4.423830032348633], [""kas"", -4.484644889831543], [""Vytautas"", -4.584246635437012], [""laikas"", -4.666803359985352], [""JAV"", -4.754953384399414], [""Trumpas"", -4.789883613586426], [""Lietuva"", -4.802333831787109], [""oras"", -4.950946807861328], [""Prancūzija"", -4.978933334350586], [""tas"", -5.094202041625977], [""ministras"", -5.291295051574707], [""Ukraina"", -5.315125465393066], [""s"", -5.324872970581055]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,apsiskaitęs,apsi skaitÄĻs,-7.510446548461914,"[[""Lietuva"", -2.4365668296813965], [""Lietuvoje"", -2.8806519508361816], [""jau"", -3.030515193939209], [""..."", -3.383017063140869], [""pasaulyje"", -3.8162245750427246], [""pasaulis"", -3.893083095550537], ["";"", -4.120510578155518], [""Jau"", -4.339526653289795], [""r"", -4.7258172035217285], [""je"", -4.764308452606201], [""\"""", -4.809709072113037], [""rojus"", -4.821845531463623], [""s"", -4.823998928070068], [""straipsnis"", -4.887485980987549], [""bet"", -5.124866962432861], [""ES"", -5.128693103790283], [""yje"", -5.149529933929443], [""-"", -5.183326244354248], [""joje"", -5.2054667472839355], [""arba"", -5.242274284362793]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,apsiskaitęs,apsi skaitÄĻs,-12.397432804107666,"[[""Lietuva"", -2.4365668296813965], [""Lietuvoje"", -2.8806519508361816], [""jau"", -3.030515193939209], [""..."", -3.383017063140869], [""pasaulyje"", -3.8162245750427246], [""pasaulis"", -3.893083095550537], ["";"", -4.120510578155518], [""Jau"", -4.339526653289795], [""r"", -4.7258172035217285], [""je"", -4.764308452606201], [""\"""", -4.809709072113037], [""rojus"", -4.821845531463623], [""s"", -4.823998928070068], [""straipsnis"", -4.887485980987549], [""bet"", -5.124866962432861], [""ES"", -5.128693103790283], [""yje"", -5.149529933929443], [""-"", -5.183326244354248], [""joje"", -5.2054667472839355], [""arba"", -5.242274284362793]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,apvaizdos lemtas,a p vaizd o s Ġ lemta s,-3.4217891693115234,"[[""Tai"", -2.095341682434082], [""Jis"", -3.4217891693115234], [""kas"", -3.568619728088379], [""s"", -3.9008541107177734], [""Kaip"", -3.9021224975585938], [""Kas"", -3.9364538192749023], [""menas"", -4.287136077880859], [""Žemė"", -4.337751388549805], [""Žemės"", -4.53572940826416], [""-"", -4.542507171630859], [""X"", -4.549199104309082], [""A"", -4.655986785888672], [""kur"", -4.670907497406006], [""taip"", -4.8120574951171875], [""kuris"", -4.8133745193481445], [""Taip"", -4.821642875671387], [""Šis"", -4.890339374542236], [""Pavadinimas"", -4.975677013397217], [""tas"", -4.984671592712402], [""Nors"", -5.001283645629883]]"
