model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,abejingas,a be j ingas,-3.8363397121429443,"[[""Kas"", -2.0691840648651123], [""Tai"", -2.1993796825408936], [""Lietuvoje"", -2.3789565563201904], [""Jis"", -3.8363397121429443], [""A"", -3.9308736324310303], [""Laimė"", -4.042568206787109], [""R"", -4.326342582702637], [""Koks"", -4.412668228149414], [""Vienas"", -4.418706893920898], [""K"", -4.605469703674316], [""Ne"", -4.729119300842285], [""O"", -4.773270606994629], [""Pasaulio"", -4.802520751953125], [""P"", -4.8127336502075195], [""S"", -4.842807769775391], [""Gaila"", -4.942926406860352], [""Taip"", -5.267084121704102], [""LRT"", -5.400670051574707], [""Kažk"", -5.501194000244141], [""Laid"", -5.552482604980469]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,abejingas,a be j ingas,-11.54734754562378,"[[""Kas"", -2.0691840648651123], [""Tai"", -2.1993796825408936], [""Lietuvoje"", -2.3789565563201904], [""Jis"", -3.8363397121429443], [""A"", -3.9308736324310303], [""Laimė"", -4.042568206787109], [""R"", -4.326342582702637], [""Koks"", -4.412668228149414], [""Vienas"", -4.418706893920898], [""K"", -4.605469703674316], [""Ne"", -4.729119300842285], [""O"", -4.773270606994629], [""Pasaulio"", -4.802520751953125], [""P"", -4.8127336502075195], [""S"", -4.842807769775391], [""Gaila"", -4.942926406860352], [""Taip"", -5.267084121704102], [""LRT"", -5.400670051574707], [""Kažk"", -5.501194000244141], [""Laid"", -5.552482604980469]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,abejojantis,abejojanti s,-1.9277061223983765,"[[""Jis"", -1.9277061223983765], [""Kas"", -3.1134963035583496], [""Kai"", -3.611870288848877], [""O"", -3.778144359588623], [""S"", -4.003719806671143], [""A"", -4.252527713775635], [""ininkas"", -4.485489368438721], [""Jis"", -4.758366107940674], [""Šuo"", -4.76764440536499], [""Laimė"", -4.773051738739014], [""Darius"", -4.8270583152771], [""Pats"", -4.844768047332764], [""Nors"", -4.955862522125244], [""Vilnius"", -4.959661960601807], [""Dar"", -4.972124099731445], [""R"", -5.036427021026611], [""Vienas"", -5.053109169006348], [""ada"", -5.136083602905273], [""Tik"", -5.206636905670166], [""Tai"", -5.225962162017822]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,abejojantis,abejojanti s,-11.046004295349121,"[[""Jis"", -1.9277061223983765], [""Kas"", -3.1134963035583496], [""Kai"", -3.611870288848877], [""O"", -3.778144359588623], [""S"", -4.003719806671143], [""A"", -4.252527713775635], [""ininkas"", -4.485489368438721], [""Jis"", -4.758366107940674], [""Šuo"", -4.76764440536499], [""Laimė"", -4.773051738739014], [""Darius"", -4.8270583152771], [""Pats"", -4.844768047332764], [""Nors"", -4.955862522125244], [""Vilnius"", -4.959661960601807], [""Dar"", -4.972124099731445], [""R"", -5.036427021026611], [""Vienas"", -5.053109169006348], [""ada"", -5.136083602905273], [""Tik"", -5.206636905670166], [""Tai"", -5.225962162017822]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,absurdiškas,absurdiÅ¡k a s,-3.8039069175720215,"[[""Tai"", -2.5832009315490723], [""Lietuvoje"", -3.079768657684326], [""Kas"", -3.090294361114502], [""Jis"", -3.8039069175720215], [""O"", -3.8228354454040527], [""A"", -3.8389697074890137], [""S"", -3.882387638092041], [""Vilniuje"", -3.974496364593506], [""Pasaulio"", -4.024993419647217], [""R"", -4.081136226654053], [""Ne"", -4.292425632476807], [""Man"", -4.352249622344971], [""Laimė"", -4.5394368171691895], [""K"", -4.604362964630127], [""N"", -4.617354869842529], [""Kai"", -4.660655498504639], [""P"", -4.687280178070068], [""LRT"", -4.8786187171936035], [""Dabar"", -5.046030044555664], [""Koks"", -5.074435234069824]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,absurdiškas,absurdiÅ¡k a s,-11.583850860595703,"[[""Tai"", -2.5832009315490723], [""Lietuvoje"", -3.079768657684326], [""Kas"", -3.090294361114502], [""Jis"", -3.8039069175720215], [""O"", -3.8228354454040527], [""A"", -3.8389697074890137], [""S"", -3.882387638092041], [""Vilniuje"", -3.974496364593506], [""Pasaulio"", -4.024993419647217], [""R"", -4.081136226654053], [""Ne"", -4.292425632476807], [""Man"", -4.352249622344971], [""Laimė"", -4.5394368171691895], [""K"", -4.604362964630127], [""N"", -4.617354869842529], [""Kai"", -4.660655498504639], [""P"", -4.687280178070068], [""LRT"", -4.8786187171936035], [""Dabar"", -5.046030044555664], [""Koks"", -5.074435234069824]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,agresyvus,agresyvu s,-2.206449031829834,"[[""Jis"", -2.206449031829834], [""P"", -3.204658031463623], [""S"", -3.382150173187256], [""R"", -4.159903049468994], [""A"", -4.202517032623291], [""u"", -4.341498851776123], [""Man"", -4.483514308929443], [""jis"", -4.763993740081787], [""Jis"", -4.763996601104736], [""a"", -4.840662002563477], ["""", -4.902659893035889], [""s"", -4.956996917724609], [""iškis"", -5.133731365203857], [""D"", -5.163096904754639], [""J"", -5.173258304595947], [""i"", -5.434646129608154], [""ininkas"", -5.534402847290039], [""lai"", -5.616744518280029], [""L"", -5.6374831199646], [""evičius"", -5.651443004608154]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,agresyvus,agresyvu s,-10.996163845062256,"[[""Jis"", -2.206449031829834], [""P"", -3.204658031463623], [""S"", -3.382150173187256], [""R"", -4.159903049468994], [""A"", -4.202517032623291], [""u"", -4.341498851776123], [""Man"", -4.483514308929443], [""jis"", -4.763993740081787], [""Jis"", -4.763996601104736], [""a"", -4.840662002563477], ["""", -4.902659893035889], [""s"", -4.956996917724609], [""iškis"", -5.133731365203857], [""D"", -5.163096904754639], [""J"", -5.173258304595947], [""i"", -5.434646129608154], [""ininkas"", -5.534402847290039], [""lai"", -5.616744518280029], [""L"", -5.6374831199646], [""evičius"", -5.651443004608154]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,aistringas,ais t ringas,-4.463477611541748,"[[""Kas"", -0.3791863024234772], [""Tai"", -4.323482036590576], [""Jis"", -4.463477611541748], [""O"", -4.746801853179932], [""Laimė"", -4.792470455169678], [""Koks"", -4.832774639129639], [""kas"", -4.880147457122803], [""Lietuvoje"", -5.006208896636963], [""Man"", -5.227792263031006], [""Vilniuje"", -5.3586297035217285], [""Pasaulio"", -5.49428129196167], [""A"", -5.497692584991455], [""Super"", -5.542870998382568], [""Kai"", -5.638364315032959], [""Kas"", -5.684974193572998], [""s"", -5.691723346710205], [""i"", -5.772868633270264], [""S"", -5.965335845947266], [""P"", -6.038795471191406], [""e"", -6.10134744644165]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,aistringas,ais t ringas,-11.866878509521484,"[[""Kas"", -0.3791863024234772], [""Tai"", -4.323482036590576], [""Jis"", -4.463477611541748], [""O"", -4.746801853179932], [""Laimė"", -4.792470455169678], [""Koks"", -4.832774639129639], [""kas"", -4.880147457122803], [""Lietuvoje"", -5.006208896636963], [""Man"", -5.227792263031006], [""Vilniuje"", -5.3586297035217285], [""Pasaulio"", -5.49428129196167], [""A"", -5.497692584991455], [""Super"", -5.542870998382568], [""Kai"", -5.638364315032959], [""Kas"", -5.684974193572998], [""s"", -5.691723346710205], [""i"", -5.772868633270264], [""S"", -5.965335845947266], [""P"", -6.038795471191406], [""e"", -6.10134744644165]]"
