model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Debesų kompiuterija,Debes Å³ Ġkompiuter ija,-5.258342266082764,"[[""Kaip"", -1.6961312294006348], [""Ką"", -2.5218558311462402], [""ES"", -3.3122096061706543], [""Europa"", -3.5267186164855957], [""Visi"", -3.5723977088928223], [""Tai"", -3.8254828453063965], [""Mus"", -3.972754955291748], [""Mane"", -4.235313892364502], [""JAV"", -4.2677178382873535], [""Lietuva"", -4.416432857513428], [""ką"", -4.505155086517334], [""Vis"", -4.522757053375244], [""Kad"", -4.528005123138428], [""—"", -4.5432047843933105], [""A"", -4.619356632232666], [""Per"", -4.63730001449585], [""Gana"", -4.687435626983643], [""pasaulį"", -4.8129143714904785], [""N"", -4.8739190101623535], [""Jau"", -4.921776294708252]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Debesų kompiuterija,Debes Å³ Ġkompiuter ija,-11.967566967010498,"[[""Kaip"", -1.6961312294006348], [""Ką"", -2.5218558311462402], [""ES"", -3.3122096061706543], [""Europa"", -3.5267186164855957], [""Visi"", -3.5723977088928223], [""Tai"", -3.8254828453063965], [""Mus"", -3.972754955291748], [""Mane"", -4.235313892364502], [""JAV"", -4.2677178382873535], [""Lietuva"", -4.416432857513428], [""ką"", -4.505155086517334], [""Vis"", -4.522757053375244], [""Kad"", -4.528005123138428], [""—"", -4.5432047843933105], [""A"", -4.619356632232666], [""Per"", -4.63730001449585], [""Gana"", -4.687435626983643], [""pasaulį"", -4.8129143714904785], [""N"", -4.8739190101623535], [""Jau"", -4.921776294708252]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Dirbtinis intelektas,Dirbtini s Ġintelekt a s,-4.181325435638428,"[[""Kaip"", -1.0349907875061035], [""Tai"", -2.2111306190490723], [""Ką"", -2.8885416984558105], [""Visi"", -3.8593106269836426], [""ką"", -4.053614139556885], [""Gana"", -4.175897121429443], [""Jis"", -4.181325435638428], [""Mane"", -4.294468402862549], [""ES"", -4.349215030670166], [""Europa"", -4.413109302520752], [""JAV"", -4.481795787811279], [""-"", -4.609006404876709], [""Per"", -4.698774814605713], [""Tą"", -4.7235493659973145], [""Mus"", -4.746784687042236], [""pasaulį"", -4.819286823272705], [""Vis"", -5.149857997894287], [""N"", -5.181337833404541], [""n"", -5.227441310882568], [""Taip"", -5.233238697052002]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Dirbtinis intelektas,Dirbtini s Ġintelekt a s,-14.978976249694824,"[[""Kaip"", -1.0349907875061035], [""Tai"", -2.2111306190490723], [""Ką"", -2.8885416984558105], [""Visi"", -3.8593106269836426], [""ką"", -4.053614139556885], [""Gana"", -4.175897121429443], [""Jis"", -4.181325435638428], [""Mane"", -4.294468402862549], [""ES"", -4.349215030670166], [""Europa"", -4.413109302520752], [""JAV"", -4.481795787811279], [""-"", -4.609006404876709], [""Per"", -4.698774814605713], [""Tą"", -4.7235493659973145], [""Mus"", -4.746784687042236], [""pasaulį"", -4.819286823272705], [""Vis"", -5.149857997894287], [""N"", -5.181337833404541], [""n"", -5.227441310882568], [""Taip"", -5.233238697052002]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Analitinis mąstymas,Analitin i s Ġ mÄħstymas,-7.553313732147217,"[[""Kaip"", -0.6819108724594116], [""Ką"", -1.4092878103256226], [""Tai"", -2.1686062812805176], [""Lietuvą"", -4.373901844024658], [""Tą"", -4.548034191131592], [""Čia"", -4.699235439300537], [""ką"", -4.77789831161499], [""Lietuvoje"", -5.568089962005615], [""Gana"", -5.617844104766846], [""O"", -5.785417079925537], [""Mane"", -5.835362911224365], [""ES"", -5.956904888153076], [""JAV"", -5.998040676116943], [""Save"", -6.0428853034973145], [""Dabar"", -6.125884532928467], [""Per"", -6.22549295425415], [""Daug"", -6.236412525177002], [""Kiek"", -6.50892972946167], [""Apie"", -6.634281635284424], [""Juos"", -6.740747928619385]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Analitinis mąstymas,Analitin i s Ġ mÄħstymas,-12.908138275146484,"[[""Kaip"", -0.6819108724594116], [""Ką"", -1.4092878103256226], [""Tai"", -2.1686062812805176], [""Lietuvą"", -4.373901844024658], [""Tą"", -4.548034191131592], [""Čia"", -4.699235439300537], [""ką"", -4.77789831161499], [""Lietuvoje"", -5.568089962005615], [""Gana"", -5.617844104766846], [""O"", -5.785417079925537], [""Mane"", -5.835362911224365], [""ES"", -5.956904888153076], [""JAV"", -5.998040676116943], [""Save"", -6.0428853034973145], [""Dabar"", -6.125884532928467], [""Per"", -6.22549295425415], [""Daug"", -6.236412525177002], [""Kiek"", -6.50892972946167], [""Apie"", -6.634281635284424], [""Juos"", -6.740747928619385]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Žmonių valdymas,Å½mon i Å³ Ġ valdymas,-6.621446132659912,"[[""Kaip"", -0.8870502710342407], [""Ką"", -2.3710360527038574], [""Tai"", -2.8861746788024902], [""Per"", -3.2090420722961426], [""ES"", -4.025426387786865], [""-"", -4.062371730804443], [""Gana"", -4.117105007171631], [""Kad"", -4.253572940826416], [""ką"", -4.558068752288818], [""Visi"", -4.8276848793029785], [""Lietuvą"", -4.971333980560303], [""pakankamai"", -4.97875452041626], [""JAV"", -5.050963878631592], [""Europa"", -5.079932689666748], [""Apie"", -5.105937480926514], [""Mane"", -5.113060474395752], [""Ir"", -5.1446213722229], [""Nors"", -5.30444860458374], [""Tą"", -5.37466287612915], [""Vis"", -5.417577266693115]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Žmonių valdymas,Å½mon i Å³ Ġ valdymas,-12.259936332702637,"[[""Kaip"", -0.8870502710342407], [""Ką"", -2.3710360527038574], [""Tai"", -2.8861746788024902], [""Per"", -3.2090420722961426], [""ES"", -4.025426387786865], [""-"", -4.062371730804443], [""Gana"", -4.117105007171631], [""Kad"", -4.253572940826416], [""ką"", -4.558068752288818], [""Visi"", -4.8276848793029785], [""Lietuvą"", -4.971333980560303], [""pakankamai"", -4.97875452041626], [""JAV"", -5.050963878631592], [""Europa"", -5.079932689666748], [""Apie"", -5.105937480926514], [""Mane"", -5.113060474395752], [""Ir"", -5.1446213722229], [""Nors"", -5.30444860458374], [""Tą"", -5.37466287612915], [""Vis"", -5.417577266693115]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,UX dizainas,UX Ġ dizainas,-5.2783122062683105,"[[""Kaip"", -0.6231104135513306], [""ES"", -2.5875725746154785], [""Per"", -2.873251438140869], [""Europa"", -3.8237147331237793], [""Visi"", -4.262033939361572], [""Kad"", -4.635311603546143], [""Gana"", -4.6655659675598145], [""N"", -4.706003665924072], [""Būti"", -4.970081806182861], [""Būk"", -5.171461582183838], [""Jis"", -5.2783122062683105], [""Jie"", -5.488882541656494], [""pakankamai"", -5.556110858917236], [""visada"", -5.563905239105225], [""EP"", -5.664002895355225], [""Vis"", -5.684146404266357], [""Kartu"", -5.6947855949401855], [""Dar"", -5.717731952667236], [""per"", -5.757174968719482], [""-"", -5.763067722320557]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,UX dizainas,UX Ġ dizainas,-13.254992008209229,"[[""Kaip"", -0.6231104135513306], [""ES"", -2.5875725746154785], [""Per"", -2.873251438140869], [""Europa"", -3.8237147331237793], [""Visi"", -4.262033939361572], [""Kad"", -4.635311603546143], [""Gana"", -4.6655659675598145], [""N"", -4.706003665924072], [""Būti"", -4.970081806182861], [""Būk"", -5.171461582183838], [""Jis"", -5.2783122062683105], [""Jie"", -5.488882541656494], [""pakankamai"", -5.556110858917236], [""visada"", -5.563905239105225], [""EP"", -5.664002895355225], [""Vis"", -5.684146404266357], [""Kartu"", -5.6947855949401855], [""Dar"", -5.717731952667236], [""per"", -5.757174968719482], [""-"", -5.763067722320557]]"
