model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,abejingas,a be j ingas,-6.144515514373779,"[[""pasaulis"", -2.924712657928467], [""kuris"", -3.5633206367492676], [""menas"", -3.57413911819458], [""Lietuva"", -3.670449733734131], [""Vilnius"", -3.8110899925231934], [""anas"", -3.8765711784362793], [""žmogus"", -3.958665370941162], [""s"", -4.1493611335754395], [""kuris"", -4.172363758087158], [""Andrius"", -4.2941508293151855], [""DELFI"", -4.295114040374756], [""Romas"", -4.428375720977783], [""konkursas"", -4.465070724487305], [""oras"", -4.516574382781982], [""ES"", -4.544276714324951], [""world"", -4.763187885284424], [""nes"", -4.822530746459961], [""-"", -4.868115425109863], [""\"""", -4.9167351722717285], [""i"", -4.965342044830322]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,abejingas,a be j ingas,-15.577032089233398,"[[""pasaulis"", -2.924712657928467], [""kuris"", -3.5633206367492676], [""menas"", -3.57413911819458], [""Lietuva"", -3.670449733734131], [""Vilnius"", -3.8110899925231934], [""anas"", -3.8765711784362793], [""žmogus"", -3.958665370941162], [""s"", -4.1493611335754395], [""kuris"", -4.172363758087158], [""Andrius"", -4.2941508293151855], [""DELFI"", -4.295114040374756], [""Romas"", -4.428375720977783], [""konkursas"", -4.465070724487305], [""oras"", -4.516574382781982], [""ES"", -4.544276714324951], [""world"", -4.763187885284424], [""nes"", -4.822530746459961], [""-"", -4.868115425109863], [""\"""", -4.9167351722717285], [""i"", -4.965342044830322]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,abejojantis,abejojanti s,-3.4166982173919678,"[[""NATO"", -2.742504835128784], [""ES"", -2.957801580429077], [""Valdžia"", -3.1099050045013428], [""Jis"", -3.4166982173919678], [""Vyriausybė"", -3.6246182918548584], [""Nors"", -3.6383473873138428], [""Vytautas"", -3.6870696544647217], [""Lietuva"", -3.7007100582122803], [""Karas"", -3.7341039180755615], [""DELFI"", -3.785764455795288], [""Visi"", -3.9131839275360107], [""Trumpas"", -3.9546849727630615], [""Vienas"", -4.370473861694336], [""LRT"", -4.445209503173828], [""Vilnius"", -4.514009475708008], [""JAV"", -4.660307884216309], [""Tačiau"", -4.675236701965332], [""Tomas"", -4.729658126831055], [""Dabar"", -4.744668960571289], [""Vyriausybės"", -4.7554931640625]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,abejojantis,abejojanti s,-15.732990264892578,"[[""NATO"", -2.742504835128784], [""ES"", -2.957801580429077], [""Valdžia"", -3.1099050045013428], [""Jis"", -3.4166982173919678], [""Vyriausybė"", -3.6246182918548584], [""Nors"", -3.6383473873138428], [""Vytautas"", -3.6870696544647217], [""Lietuva"", -3.7007100582122803], [""Karas"", -3.7341039180755615], [""DELFI"", -3.785764455795288], [""Visi"", -3.9131839275360107], [""Trumpas"", -3.9546849727630615], [""Vienas"", -4.370473861694336], [""LRT"", -4.445209503173828], [""Vilnius"", -4.514009475708008], [""JAV"", -4.660307884216309], [""Tačiau"", -4.675236701965332], [""Tomas"", -4.729658126831055], [""Dabar"", -4.744668960571289], [""Vyriausybės"", -4.7554931640625]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,absurdiškas,absurdiÅ¡k a s,-6.54923152923584,"[[""B"", -2.433044672012329], [""R"", -3.578273057937622], [""V"", -3.720120668411255], [""absurdišk"", -4.135956764221191], [""konkursas"", -4.161376953125], [""s"", -4.427823066711426], [""b"", -4.485960960388184], [""siūlymas"", -4.53767204284668], [""leidimas"", -4.592560768127441], [""sprendimas"", -4.62986946105957], [""klausimas"", -4.706111907958984], [""p"", -4.826481819152832], [""t"", -4.904984474182129], [""maistas"", -5.035216331481934], [""į"", -5.044796943664551], [""blokas"", -5.142149925231934], [""ES"", -5.150234222412109], [""alas"", -5.178005218505859], [""vol"", -5.253073692321777], [""Vis"", -5.256417274475098]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,absurdiškas,absurdiÅ¡k a s,-14.676591396331787,"[[""B"", -2.433044672012329], [""R"", -3.578273057937622], [""V"", -3.720120668411255], [""absurdišk"", -4.135956764221191], [""konkursas"", -4.161376953125], [""s"", -4.427823066711426], [""b"", -4.485960960388184], [""siūlymas"", -4.53767204284668], [""leidimas"", -4.592560768127441], [""sprendimas"", -4.62986946105957], [""klausimas"", -4.706111907958984], [""p"", -4.826481819152832], [""t"", -4.904984474182129], [""maistas"", -5.035216331481934], [""į"", -5.044796943664551], [""blokas"", -5.142149925231934], [""ES"", -5.150234222412109], [""alas"", -5.178005218505859], [""vol"", -5.253073692321777], [""Vis"", -5.256417274475098]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,agresyvus,agresyvu s,-2.813080310821533,"[[""NATO"", -1.9735417366027832], [""Lietuva"", -2.3433938026428223], [""Vytautas"", -2.578880786895752], [""Vilnius"", -2.8004555702209473], [""Jis"", -2.813080310821533], [""pasaulis"", -3.463148593902588], [""ES"", -3.4790501594543457], [""Karas"", -3.6150870323181152], [""B"", -3.6667733192443848], [""Ukraina"", -3.929297924041748], [""Lietuvoje"", -4.258591175079346], [""Europa"", -4.493668079376221], [""Kaunas"", -4.573653697967529], [""Visur"", -4.83396577835083], [""Andrius"", -4.910463809967041], [""Rusijos"", -4.94002103805542], [""jis"", -5.062117099761963], [""Jau"", -5.109434604644775], [""Lietuvos"", -5.428714275360107], [""Nors"", -5.464354991912842]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,agresyvus,agresyvu s,-16.958619117736816,"[[""NATO"", -1.9735417366027832], [""Lietuva"", -2.3433938026428223], [""Vytautas"", -2.578880786895752], [""Vilnius"", -2.8004555702209473], [""Jis"", -2.813080310821533], [""pasaulis"", -3.463148593902588], [""ES"", -3.4790501594543457], [""Karas"", -3.6150870323181152], [""B"", -3.6667733192443848], [""Ukraina"", -3.929297924041748], [""Lietuvoje"", -4.258591175079346], [""Europa"", -4.493668079376221], [""Kaunas"", -4.573653697967529], [""Visur"", -4.83396577835083], [""Andrius"", -4.910463809967041], [""Rusijos"", -4.94002103805542], [""jis"", -5.062117099761963], [""Jau"", -5.109434604644775], [""Lietuvos"", -5.428714275360107], [""Nors"", -5.464354991912842]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Jis,aistringas,ais t ringas,-4.851691722869873,"[[""s"", -3.223057270050049], [""rojus"", -3.977883815765381], [""menas"", -4.007554531097412], [""nes"", -4.010177135467529], [""\"""", -4.065210819244385], [""United"", -4.288123607635498], [""-"", -4.3064045906066895], [""i"", -4.516684055328369], [""Šiaurės"", -4.561232089996338], [""pasaulis"", -4.630666255950928], [""jau"", -4.7291789054870605], [""kas"", -4.774139881134033], [""Jis"", -4.851691722869873], [""žmogus"", -4.870150089263916], [""mokslas"", -4.943657398223877], [""o"", -5.003718852996826], [""Jau"", -5.113895893096924], [""takas"", -5.131160259246826], [""k"", -5.164922714233398], [""a"", -5.306382656097412]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC2,modernbert_or_bert,[MASK] yra {CAND},Ji,aistringas,ais t ringas,-13.466476917266846,"[[""s"", -3.223057270050049], [""rojus"", -3.977883815765381], [""menas"", -4.007554531097412], [""nes"", -4.010177135467529], [""\"""", -4.065210819244385], [""United"", -4.288123607635498], [""-"", -4.3064045906066895], [""i"", -4.516684055328369], [""Šiaurės"", -4.561232089996338], [""pasaulis"", -4.630666255950928], [""jau"", -4.7291789054870605], [""kas"", -4.774139881134033], [""Jis"", -4.851691722869873], [""žmogus"", -4.870150089263916], [""mokslas"", -4.943657398223877], [""o"", -5.003718852996826], [""Jau"", -5.113895893096924], [""takas"", -5.131160259246826], [""k"", -5.164922714233398], [""a"", -5.306382656097412]]"
