model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,aistringas,ais t ringas,-4.463477611541748,"[[""Kas"", -0.3791863024234772], [""Tai"", -4.323482036590576], [""Jis"", -4.463477611541748], [""O"", -4.746801853179932], [""Laimė"", -4.792470455169678], [""Koks"", -4.832774639129639], [""kas"", -4.880147457122803], [""Lietuvoje"", -5.006208896636963], [""Man"", -5.227792263031006], [""Vilniuje"", -5.3586297035217285], [""Pasaulio"", -5.49428129196167], [""A"", -5.497692584991455], [""Super"", -5.542870998382568], [""Kai"", -5.638364315032959], [""Kas"", -5.684974193572998], [""s"", -5.691723346710205], [""i"", -5.772868633270264], [""S"", -5.965335845947266], [""P"", -6.038795471191406], [""e"", -6.10134744644165]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,aistringas,ais t ringas,-11.866878509521484,"[[""Kas"", -0.3791863024234772], [""Tai"", -4.323482036590576], [""Jis"", -4.463477611541748], [""O"", -4.746801853179932], [""Laimė"", -4.792470455169678], [""Koks"", -4.832774639129639], [""kas"", -4.880147457122803], [""Lietuvoje"", -5.006208896636963], [""Man"", -5.227792263031006], [""Vilniuje"", -5.3586297035217285], [""Pasaulio"", -5.49428129196167], [""A"", -5.497692584991455], [""Super"", -5.542870998382568], [""Kai"", -5.638364315032959], [""Kas"", -5.684974193572998], [""s"", -5.691723346710205], [""i"", -5.772868633270264], [""S"", -5.965335845947266], [""P"", -6.038795471191406], [""e"", -6.10134744644165]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,aiškiai kalbantis,aiÅ¡kiai Ġkalba ntis,-5.530492305755615,"[[""Tai"", -2.0600404739379883], [""Man"", -2.2029972076416016], [""Kas"", -2.555111885070801], [""A"", -3.092831611633301], [""Vienas"", -3.5233078002929688], [""gerai"", -4.395092964172363], [""O"", -4.451066017150879], [""a"", -4.707320213317871], [""Lietuvoje"", -4.977036476135254], [""Abu"", -5.087246894836426], [""aiškiai"", -5.105767250061035], [""P"", -5.138701438903809], [""Delfi"", -5.179299354553223], [""Vertin"", -5.203952789306641], [""r"", -5.224888801574707], [""Jau"", -5.316534996032715], [""R"", -5.377799034118652], [""s"", -5.411358833312988], [""Jis"", -5.530492305755615], [""Kalba"", -5.574066162109375]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,aiškiai kalbantis,aiÅ¡kiai Ġkalba ntis,-8.769494771957397,"[[""Tai"", -2.0600404739379883], [""Man"", -2.2029972076416016], [""Kas"", -2.555111885070801], [""A"", -3.092831611633301], [""Vienas"", -3.5233078002929688], [""gerai"", -4.395092964172363], [""O"", -4.451066017150879], [""a"", -4.707320213317871], [""Lietuvoje"", -4.977036476135254], [""Abu"", -5.087246894836426], [""aiškiai"", -5.105767250061035], [""P"", -5.138701438903809], [""Delfi"", -5.179299354553223], [""Vertin"", -5.203952789306641], [""r"", -5.224888801574707], [""Jau"", -5.316534996032715], [""R"", -5.377799034118652], [""s"", -5.411358833312988], [""Jis"", -5.530492305755615], [""Kalba"", -5.574066162109375]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,aktyvus,aktyvus,-3.2843337059020996,"[[""s"", -2.3696722984313965], [""Jis"", -3.2843337059020996], [""a"", -3.433145046234131], [""A"", -3.4376654624938965], [""Man"", -3.941977024078369], [""u"", -4.000884532928467], [""P"", -4.063412189483643], [""i"", -4.09390115737915], [""O"", -4.176472187042236], [""Delfi"", -4.179981708526611], [""Tai"", -4.252041339874268], [""Kas"", -4.382401943206787], [""S"", -4.51018762588501], [""Vienas"", -4.736170291900635], [""LRT"", -4.792154788970947], [""Jonas"", -4.93803071975708], [""inys"", -4.9939093589782715], [""čia"", -5.173743724822998], [""Taip"", -5.207113742828369], [""e"", -5.413642406463623]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,aktyvus,aktyvus,-10.79438591003418,"[[""s"", -2.3696722984313965], [""Jis"", -3.2843337059020996], [""a"", -3.433145046234131], [""A"", -3.4376654624938965], [""Man"", -3.941977024078369], [""u"", -4.000884532928467], [""P"", -4.063412189483643], [""i"", -4.09390115737915], [""O"", -4.176472187042236], [""Delfi"", -4.179981708526611], [""Tai"", -4.252041339874268], [""Kas"", -4.382401943206787], [""S"", -4.51018762588501], [""Vienas"", -4.736170291900635], [""LRT"", -4.792154788970947], [""Jonas"", -4.93803071975708], [""inys"", -4.9939093589782715], [""čia"", -5.173743724822998], [""Taip"", -5.207113742828369], [""e"", -5.413642406463623]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,angeliškas,a ngel iÅ¡kas,-6.230741024017334,"[[""Kas"", -2.204749584197998], [""S"", -2.2451796531677246], [""A"", -2.311143398284912], [""P"", -3.2413783073425293], [""R"", -3.493713855743408], [""Tai"", -4.339747905731201], [""O"", -4.366032123565674], [""Lietuvoje"", -4.425316333770752], [""Ž"", -4.606039524078369], [""Ne"", -4.787499904632568], [""Vidur"", -4.943741798400879], [""g"", -4.98498010635376], [""gim"", -5.010374546051025], [""tur"", -5.0522541999816895], [""L"", -5.272284030914307], [""Kaip"", -5.29512357711792], [""Man"", -5.296496868133545], [""K"", -5.398768901824951], [""Gera"", -5.399489402770996], [""El"", -5.446420192718506]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,angeliškas,a ngel iÅ¡kas,-15.253151416778564,"[[""Kas"", -2.204749584197998], [""S"", -2.2451796531677246], [""A"", -2.311143398284912], [""P"", -3.2413783073425293], [""R"", -3.493713855743408], [""Tai"", -4.339747905731201], [""O"", -4.366032123565674], [""Lietuvoje"", -4.425316333770752], [""Ž"", -4.606039524078369], [""Ne"", -4.787499904632568], [""Vidur"", -4.943741798400879], [""g"", -4.98498010635376], [""gim"", -5.010374546051025], [""tur"", -5.0522541999816895], [""L"", -5.272284030914307], [""Kaip"", -5.29512357711792], [""Man"", -5.296496868133545], [""K"", -5.398768901824951], [""Gera"", -5.399489402770996], [""El"", -5.446420192718506]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Jis,apdairus,apdairu s,-2.2476837635040283,"[[""Jis"", -2.2476837635040283], [""Darius"", -2.906351327896118], [""ininkas"", -2.9225685596466064], [""s"", -3.42120099067688], [""Kas"", -3.7517569065093994], [""Jis"", -4.031397819519043], [""Geras"", -4.340825080871582], [""A"", -4.425487518310547], [""i"", -4.54595947265625], [""O"", -4.652458190917969], [""tas"", -4.705409049987793], [""t"", -4.817113876342773], [""VŽ"", -4.9279584884643555], [""jis"", -5.010204315185547], [""kas"", -5.068976402282715], [""a"", -5.147434234619141], [""Tai"", -5.205257415771484], [""Velni"", -5.252181053161621], [""S"", -5.279851913452148], [""Pasaulio"", -5.297122955322266]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] yra {CAND},Ji,apdairus,apdairu s,-12.102231979370117,"[[""Jis"", -2.2476837635040283], [""Darius"", -2.906351327896118], [""ininkas"", -2.9225685596466064], [""s"", -3.42120099067688], [""Kas"", -3.7517569065093994], [""Jis"", -4.031397819519043], [""Geras"", -4.340825080871582], [""A"", -4.425487518310547], [""i"", -4.54595947265625], [""O"", -4.652458190917969], [""tas"", -4.705409049987793], [""t"", -4.817113876342773], [""VŽ"", -4.9279584884643555], [""jis"", -5.010204315185547], [""kas"", -5.068976402282715], [""a"", -5.147434234619141], [""Tai"", -5.205257415771484], [""Velni"", -5.252181053161621], [""S"", -5.279851913452148], [""Pasaulio"", -5.297122955322266]]"
