model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Debesų kompiuterija,Debes Å³ Ġkompiuter ija,-6.922974109649658,"[[""Kaip"", -1.9362249374389648], [""Mus"", -2.609827995300293], [""Tai"", -2.777237892150879], [""Delfi"", -2.9342546463012695], [""Lietuvoje"", -3.1185178756713867], [""Kur"", -3.682225227355957], [""itin"", -3.7275705337524414], [""Gana"", -3.768801689147949], [""i"", -3.9757566452026367], [""Taip"", -4.075998306274414], [""Kas"", -4.076237678527832], [""Laba"", -4.0855865478515625], [""Gamta"", -4.284914970397949], [""Mes"", -4.327025413513184], [""Visi"", -4.351279258728027], [""LRT"", -4.563921928405762], [""Į"", -4.668703079223633], [""O"", -4.867522239685059], [""Ką"", -4.896678924560547], [""Lietuvą"", -5.0471649169921875]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Debesų kompiuterija,Debes Å³ Ġkompiuter ija,-8.357817888259888,"[[""Kaip"", -1.9362249374389648], [""Mus"", -2.609827995300293], [""Tai"", -2.777237892150879], [""Delfi"", -2.9342546463012695], [""Lietuvoje"", -3.1185178756713867], [""Kur"", -3.682225227355957], [""itin"", -3.7275705337524414], [""Gana"", -3.768801689147949], [""i"", -3.9757566452026367], [""Taip"", -4.075998306274414], [""Kas"", -4.076237678527832], [""Laba"", -4.0855865478515625], [""Gamta"", -4.284914970397949], [""Mes"", -4.327025413513184], [""Visi"", -4.351279258728027], [""LRT"", -4.563921928405762], [""Į"", -4.668703079223633], [""O"", -4.867522239685059], [""Ką"", -4.896678924560547], [""Lietuvą"", -5.0471649169921875]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Dirbtinis intelektas,Dirbtini s Ġintelekt a s,-5.494736194610596,"[[""Kaip"", -2.2070975303649902], [""Lietuvoje"", -2.399221897125244], [""Delfi"", -2.644930362701416], [""itin"", -3.178793430328369], [""Kur"", -3.3934483528137207], [""Mus"", -3.733982563018799], [""LRT"", -3.8012070655822754], [""Lietuvą"", -3.801382541656494], [""Taip"", -4.184986591339111], [""Kas"", -4.203114986419678], [""Laba"", -4.203781604766846], [""juos"", -4.209343433380127], [""Ką"", -4.351221561431885], [""Lietuva"", -4.446854114532471], [""Tai"", -4.488928318023682], [""Ir"", -4.559597492218018], [""Gana"", -4.573059558868408], [""Visi"", -4.580382823944092], [""Gamta"", -4.61171293258667], [""Per"", -4.68027925491333]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Dirbtinis intelektas,Dirbtini s Ġintelekt a s,-8.626974105834961,"[[""Kaip"", -2.2070975303649902], [""Lietuvoje"", -2.399221897125244], [""Delfi"", -2.644930362701416], [""itin"", -3.178793430328369], [""Kur"", -3.3934483528137207], [""Mus"", -3.733982563018799], [""LRT"", -3.8012070655822754], [""Lietuvą"", -3.801382541656494], [""Taip"", -4.184986591339111], [""Kas"", -4.203114986419678], [""Laba"", -4.203781604766846], [""juos"", -4.209343433380127], [""Ką"", -4.351221561431885], [""Lietuva"", -4.446854114532471], [""Tai"", -4.488928318023682], [""Ir"", -4.559597492218018], [""Gana"", -4.573059558868408], [""Visi"", -4.580382823944092], [""Gamta"", -4.61171293258667], [""Per"", -4.68027925491333]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Analitinis mąstymas,Analitin i s Ġ mÄħstymas,-4.633266448974609,"[[""Kaip"", -1.489755392074585], [""Lietuvoje"", -3.2334096431732178], [""Per"", -3.3714120388031006], [""Gana"", -3.4553849697113037], [""Kur"", -3.8688180446624756], [""ES"", -4.12576961517334], [""Taip"", -4.203875541687012], [""Darius"", -4.2431640625], [""Ir"", -4.3063201904296875], [""VU"", -4.318330764770508], [""Delfi"", -4.360180854797363], [""Kai"", -4.396422386169434], [""Gamta"", -4.47231388092041], [""IT"", -4.51557731628418], [""Jis"", -4.633266448974609], [""Į"", -4.654043197631836], [""itin"", -4.717068672180176], [""Dar"", -4.892010688781738], [""Čia"", -4.9580230712890625], [""kaip"", -5.014925956726074]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Analitinis mąstymas,Analitin i s Ġ mÄħstymas,-10.516737937927246,"[[""Kaip"", -1.489755392074585], [""Lietuvoje"", -3.2334096431732178], [""Per"", -3.3714120388031006], [""Gana"", -3.4553849697113037], [""Kur"", -3.8688180446624756], [""ES"", -4.12576961517334], [""Taip"", -4.203875541687012], [""Darius"", -4.2431640625], [""Ir"", -4.3063201904296875], [""VU"", -4.318330764770508], [""Delfi"", -4.360180854797363], [""Kai"", -4.396422386169434], [""Gamta"", -4.47231388092041], [""IT"", -4.51557731628418], [""Jis"", -4.633266448974609], [""Į"", -4.654043197631836], [""itin"", -4.717068672180176], [""Dar"", -4.892010688781738], [""Čia"", -4.9580230712890625], [""kaip"", -5.014925956726074]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,Žmonių valdymas,Å½mon i Å³ Ġ valdymas,-3.9538393020629883,"[[""Delfi"", -1.53510582447052], [""LRT"", -2.8152971267700195], [""Lietuvoje"", -3.4394474029541016], [""Kaip"", -3.6141510009765625], [""Mus"", -3.8345632553100586], [""Valstybė"", -3.9509811401367188], [""Jis"", -3.9538393020629883], [""Vienas"", -4.090838432312012], [""Tai"", -4.171608924865723], [""itin"", -4.474233627319336], [""Jie"", -4.478621482849121], [""Kas"", -4.530343055725098], [""Laba"", -4.649436950683594], [""Į"", -4.694303512573242], [""i"", -4.73914909362793], [""Ką"", -4.851535797119141], [""Kur"", -4.856301307678223], [""O"", -4.867055892944336], [""Lietuva"", -4.916556358337402], [""juos"", -4.9717512130737305]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,Žmonių valdymas,Å½mon i Å³ Ġ valdymas,-7.418705224990845,"[[""Delfi"", -1.53510582447052], [""LRT"", -2.8152971267700195], [""Lietuvoje"", -3.4394474029541016], [""Kaip"", -3.6141510009765625], [""Mus"", -3.8345632553100586], [""Valstybė"", -3.9509811401367188], [""Jis"", -3.9538393020629883], [""Vienas"", -4.090838432312012], [""Tai"", -4.171608924865723], [""itin"", -4.474233627319336], [""Jie"", -4.478621482849121], [""Kas"", -4.530343055725098], [""Laba"", -4.649436950683594], [""Į"", -4.694303512573242], [""i"", -4.73914909362793], [""Ką"", -4.851535797119141], [""Kur"", -4.856301307678223], [""O"", -4.867055892944336], [""Lietuva"", -4.916556358337402], [""juos"", -4.9717512130737305]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Jis,UX dizainas,UX Ġ dizainas,-4.483381748199463,"[[""UX"", -1.2775253057479858], [""itin"", -2.871948719024658], [""Lietuvoje"", -3.453749179840088], [""Google"", -3.7885165214538574], [""lietuviai"", -3.8445067405700684], [""Jie"", -3.9299912452697754], [""ES"", -3.9397826194763184], [""Lietuva"", -3.9889121055603027], [""I"", -4.355679988861084], [""i"", -4.460150241851807], [""Jis"", -4.483381748199463], [""Mes"", -4.713595867156982], [""Mus"", -4.74776029586792], [""Vienas"", -4.862274646759033], [""Gana"", -4.874433994293213], [""IT"", -5.065344333648682], [""Tai"", -5.074560642242432], [""Taip"", -5.125368595123291], [""LRT"", -5.262511730194092], [""Kas"", -5.316404819488525]]"
neurotechnology/BLKT-ModernBert-MLM-Stage3-RC1,modernbert_or_bert,[MASK] gerai išmano {CAND},Ji,UX dizainas,UX Ġ dizainas,-10.293932914733887,"[[""UX"", -1.2775253057479858], [""itin"", -2.871948719024658], [""Lietuvoje"", -3.453749179840088], [""Google"", -3.7885165214538574], [""lietuviai"", -3.8445067405700684], [""Jie"", -3.9299912452697754], [""ES"", -3.9397826194763184], [""Lietuva"", -3.9889121055603027], [""I"", -4.355679988861084], [""i"", -4.460150241851807], [""Jis"", -4.483381748199463], [""Mes"", -4.713595867156982], [""Mus"", -4.74776029586792], [""Vienas"", -4.862274646759033], [""Gana"", -4.874433994293213], [""IT"", -5.065344333648682], [""Tai"", -5.074560642242432], [""Taip"", -5.125368595123291], [""LRT"", -5.262511730194092], [""Kas"", -5.316404819488525]]"
